product_id,product_name,category,brand,price,stock_quantity,rating,launch_date,cost,margin
85,Product_85,Health,BrandE,913.93,217,4.1,2021-08-11,364.34,60.1
86,Product_86,Sports,BrandA,729.85,939,2.0,2021-08-18,382.4,47.6
87,Product_87,Electronics,BrandC,1260.99,619,4.3,2021-08-25,691.36,45.2
88,Product_88,Health,BrandE,1349.31,230,2.7,2021-09-01,916.16,32.1
89,Product_89,Books,BrandC,425.32,581,1.7,2021-09-08,269.61,36.6
90,Product_90,Books,BrandE,1674.69,732,2.4,2021-09-15,933.48,44.3
91,Product_91,Clothing,BrandE,583.42,585,2.0,2021-09-22,373.5,36.0
92,Product_92,Books,BrandA,377.43,178,1.9,2021-09-29,117.77,68.8
93,Product_93,Clothing,BrandB,815.77,79,2.1,2021-10-06,561.51,31.2
94,Product_94,Electronics,BrandE,1462.47,353,1.7,2021-10-13,593.49,59.4
95,Product_95,Sports,BrandE,1931.09,670,3.7,2021-10-20,1213.12,37.2
96,Product_96,Sports,BrandA,1619.52,867,3.3,2021-10-27,578.15,64.3
97,Product_97,Sports,BrandB,1881.0,680,3.6,2021-11-03,671.95,64.3
98,Product_98,Books,BrandD,285.51,825,2.4,2021-11-10,90.74,68.2
99,Product_99,Electronics,BrandD,147.0,900,4.1,2021-11-17,111.0,24.5
100,Product_100,Books,BrandB,1117.62,160,1.5,2021-11-24,673.12,39.8
101,Product_101,Books,BrandC,584.14,426,3.3,2021-12-01,280.96,51.9
102,Product_102,Electronics,BrandA,1656.97,402,2.1,2021-12-08,1149.75,30.6
103,Product_103,Electronics,BrandB,1345.62,31,3.1,2021-12-15,824.92,38.7
104,Product_104,Electronics,BrandD,1941.6,120,2.3,2021-12-22,1184.45,39.0
105,Product_105,Electronics,BrandE,513.31,726,4.2,2021-12-29,278.99,45.6
106,Product_106,Sports,BrandD,974.14,514,4.6,2022-01-05,296.1,69.6
107,Product_107,Home,BrandE,1004.97,384,4.0,2022-01-12,431.36,57.1
108,Product_108,Home,BrandA,482.16,739,1.7,2022-01-19,170.94,64.5
109,Product_109,Electronics,BrandE,1182.24,424,2.1,2022-01-26,746.24,36.9
110,Product_110,Home,BrandB,889.36,475,4.7,2022-02-02,377.36,57.6
111,Product_111,Home,BrandE,896.21,559,2.7,2022-02-09,470.58,47.5
112,Product_112,Electronics,BrandC,728.66,166,4.8,2022-02-16,347.36,52.3
113,Product_113,Home,BrandB,38.77,388,2.6,2022-02-23,14.41,62.8
114,Product_114,Books,BrandA,1046.58,332,4.8,2022-03-02,815.48,22.1
115,Product_115,Clothing,BrandB,673.82,522,4.7,2022-03-09,516.62,23.3
116,Product_116,Clothing,BrandC,7.63,749,3.6,2022-03-16,2.61,65.8
117,Product_117,Electronics,BrandA,619.35,789,1.0,2022-03-23,442.02,28.6
118,Product_118,Sports,BrandD,560.86,752,2.6,2022-03-30,305.21,45.6
119,Product_119,Electronics,BrandC,789.93,470,4.6,2022-04-06,542.58,31.3
120,Product_120,Sports,BrandA,268.04,703,4.5,2022-04-13,100.67,62.4
121,Product_121,Clothing,BrandE,1017.83,523,1.7,2022-04-20,372.67,63.4
122,Product_122,Electronics,BrandB,1386.42,52,2.6,2022-04-27,1033.41,25.5
123,Product_123,Health,BrandA,1262.22,566,4.3,2022-05-04,945.29,25.1
124,Product_124,Books,BrandB,1608.49,820,3.3,2022-05-11,857.25,46.7
125,Product_125,Home,BrandE,906.76,20,4.4,2022-05-18,666.54,26.5
126,Product_126,Sports,BrandA,1040.59,18,4.3,2022-05-25,659.45,36.6
127,Product_127,Health,BrandD,1621.75,964,4.6,2022-06-01,636.54,60.7
128,Product_128,Home,BrandC,858.26,855,1.5,2022-06-08,398.64,53.6
129,Product_129,Home,BrandA,1404.69,861,1.6,2022-06-15,516.97,63.2
130,Product_130,Electronics,BrandE,872.03,455,1.3,2022-06-22,599.06,31.3
131,Product_131,Home,BrandA,838.38,321,4.7,2022-06-29,664.52,20.7
132,Product_132,Books,BrandB,1521.61,826,2.9,2022-07-06,872.17,42.7
133,Product_133,Health,BrandA,353.8,432,1.3,2022-07-13,222.16,37.2
134,Product_134,Home,BrandD,680.48,993,2.3,2022-07-20,457.99,32.7
135,Product_135,Electronics,BrandA,452.22,58,2.4,2022-07-27,186.37,58.8
136,Product_136,Books,BrandC,721.42,150,4.2,2022-08-03,337.63,53.2
137,Product_137,Clothing,BrandA,464.6,770,3.9,2022-08-10,235.16,49.4
138,Product_138,Health,BrandB,1160.91,439,3.8,2022-08-17,693.4,40.3
139,Product_139,Home,BrandA,1597.35,883,1.1,2022-08-24,1158.47,27.5
140,Product_140,Electronics,BrandD,1574.29,57,4.6,2022-08-31,672.38,57.3
141,Product_141,Clothing,BrandE,732.18,727,1.9,2022-09-07,392.04,46.5
142,Product_142,Clothing,BrandA,1977.58,573,3.5,2022-09-14,1336.38,32.4
143,Product_143,Sports,BrandA,1189.74,657,1.2,2022-09-21,408.9,65.6
144,Product_144,Books,BrandC,801.8,956,1.3,2022-09-28,446.16,44.4
145,Product_145,Home,BrandD,1671.9,893,1.0,2022-10-05,622.26,62.8
146,Product_146,Electronics,BrandE,1461.1,750,3.3,2022-10-12,832.21,43.0
147,Product_147,Sports,BrandB,1499.8,292,3.5,2022-10-19,1025.73,31.6
148,Product_148,Books,BrandA,396.3,181,1.2,2022-10-26,165.84,58.2
149,Product_149,Sports,BrandE,939.31,880,2.2,2022-11-02,680.75,27.5
150,Product_150,Health,BrandB,1724.35,606,4.4,2022-11-09,805.96,53.3
151,Product_151,Books,BrandD,1010.56,77,1.4,2022-11-16,399.57,60.5
152,Product_152,Books,BrandD,1368.49,960,1.9,2022-11-23,728.94,46.7
153,Product_153,Home,BrandE,1177.93,653,2.7,2022-11-30,869.36,26.2
154,Product_154,Books,BrandB,1685.5,104,4.4,2022-12-07,563.74,66.6
155,Product_155,Sports,BrandD,572.7,260,2.0,2022-12-14,265.61,53.6
156,Product_156,Books,BrandE,1153.07,606,5.0,2022-12-21,722.49,37.3
157,Product_157,Home,BrandD,250.85,222,2.4,2022-12-28,120.1,52.1
158,Product_158,Home,BrandD,1381.97,989,2.5,2023-01-04,463.53,66.5
159,Product_159,Health,BrandD,1465.28,483,1.5,2023-01-11,682.82,53.4
160,Product_160,Sports,BrandC,90.46,701,3.7,2023-01-18,64.27,29.0
161,Product_161,Clothing,BrandB,1353.2,128,2.0,2023-01-25,1060.93,21.6
162,Product_162,Clothing,BrandE,832.31,318,3.5,2023-02-01,266.25,68.0
163,Product_163,Books,BrandE,252.57,706,1.9,2023-02-08,147.66,41.5
164,Product_164,Health,BrandB,842.72,508,2.6,2023-02-15,297.19,64.7
165,Product_165,Electronics,BrandB,392.49,19,4.4,2023-02-22,251.27,36.0
166,Product_166,Books,BrandB,834.04,810,4.0,2023-03-01,253.5,69.6
167,Product_167,Health,BrandB,771.76,751,1.6,2023-03-08,237.22,69.3
168,Product_168,Sports,BrandA,1478.09,234,3.4,2023-03-15,1017.58,31.2
169,Product_169,Sports,BrandE,1549.56,596,3.5,2023-03-22,522.54,66.3
170,Product_170,Sports,BrandA,1216.02,605,1.4,2023-03-29,550.36,54.7
171,Product_171,Sports,BrandD,50.26,553,2.9,2023-04-05,39.15,22.1
172,Product_172,Sports,BrandD,1862.39,875,2.0,2023-04-12,1476.17,20.7
173,Product_173,Health,BrandE,1374.04,349,2.9,2023-04-19,523.1,61.9
174,Product_174,Health,BrandD,73.22,452,4.1,2023-04-26,42.5,42.0
175,Product_175,Home,BrandB,1638.57,585,1.6,2023-05-03,949.67,42.0
176,Product_176,Clothing,BrandA,404.53,983,1.5,2023-05-10,212.86,47.4
177,Product_177,Sports,BrandB,1160.55,876,2.1,2023-05-17,884.75,23.8
178,Product_178,Electronics,BrandD,935.94,508,4.8,2023-05-24,633.65,32.3
179,Product_179,Health,BrandA,842.58,626,4.0,2023-05-31,574.86,31.8
180,Product_180,Electronics,BrandB,1779.98,422,1.1,2023-06-07,773.91,56.5
181,Product_181,Electronics,BrandE,877.54,189,2.6,2023-06-14,453.83,48.3
182,Product_182,Electronics,BrandB,155.31,943,2.0,2023-06-21,84.44,45.6
183,Product_183,Home,BrandD,1893.54,124,3.6,2023-06-28,851.06,55.1
184,Product_184,Health,BrandA,1841.47,5,2.8,2023-07-05,639.74,65.3
185,Product_185,Electronics,BrandE,1370.44,457,4.9,2023-07-12,497.72,63.7
186,Product_186,Sports,BrandA,938.45,890,1.9,2023-07-19,366.31,61.0
187,Product_187,Books,BrandE,190.25,553,3.4,2023-07-26,76.45,59.8
188,Product_188,Electronics,BrandA,1582.54,569,3.8,2023-08-02,666.46,57.9
189,Product_189,Home,BrandD,155.58,938,4.3,2023-08-09,66.55,57.2
190,Product_190,Health,BrandE,141.86,521,2.6,2023-08-16,74.88,47.2
191,Product_191,Home,BrandC,1077.08,88,3.7,2023-08-23,597.55,44.5
192,Product_192,Electronics,BrandA,324.46,845,2.2,2023-08-30,147.45,54.6
193,Product_193,Health,BrandA,20.42,110,2.7,2023-09-06,15.39,24.6
194,Product_194,Books,BrandB,849.11,550,4.6,2023-09-13,489.57,42.3
195,Product_195,Electronics,BrandE,278.75,396,4.8,2023-09-20,193.38,30.6
196,Product_196,Home,BrandC,325.23,970,3.9,2023-09-27,247.86,23.8
197,Product_197,Clothing,BrandD,158.44,678,2.5,2023-10-04,60.46,61.8
198,Product_198,Sports,BrandB,414.16,10,4.3,2023-10-11,212.85,48.6
199,Product_199,Home,BrandC,1432.39,621,1.1,2023-10-18,739.98,48.3
200,Product_200,Health,BrandE,1618.81,496,1.4,2023-10-25,772.55,52.3
201,Product_201,Electronics,BrandC,907.8,15,3.6,2023-11-01,276.38,69.6
202,Product_202,Sports,BrandA,1015.57,32,2.2,2023-11-08,719.01,29.2
203,Product_203,Electronics,BrandA,70.15,744,4.8,2023-11-15,24.96,64.4
204,Product_204,Health,BrandB,143.29,488,2.7,2023-11-22,114.31,20.2
205,Product_205,Electronics,BrandE,518.85,187,2.7,2023-11-29,356.18,31.4
206,Product_206,Clothing,BrandE,1090.08,735,3.7,2023-12-06,643.15,41.0
207,Product_207,Sports,BrandC,1480.4,570,4.1,2023-12-13,558.56,62.3
208,Product_208,Sports,BrandB,1211.98,457,2.9,2023-12-20,675.92,44.2
209,Product_209,Health,BrandE,787.3,50,1.9,2023-12-27,338.98,56.9
210,Product_210,Clothing,BrandA,241.06,270,4.1,2024-01-03,102.73,57.4
211,Product_211,Home,BrandC,1562.64,463,2.3,2024-01-10,1116.92,28.5
212,Product_212,Electronics,BrandD,730.75,42,1.7,2024-01-17,358.3,51.0
213,Product_213,Books,BrandA,1473.43,538,3.5,2024-01-24,774.08,47.5
214,Product_214,Electronics,BrandB,1028.39,567,1.4,2024-01-31,741.97,27.9
215,Product_215,Electronics,BrandE,1478.63,120,4.9,2024-02-07,508.49,65.6
216,Product_216,Home,BrandA,1815.04,624,3.5,2024-02-14,1084.14,40.3
217,Product_217,Electronics,BrandD,1842.45,315,4.9,2024-02-21,1085.4,41.1
218,Product_218,Clothing,BrandD,1072.54,114,2.4,2024-02-28,549.79,48.7
219,Product_219,Clothing,BrandB,1025.46,620,4.9,2024-03-06,733.09,28.5
220,Product_220,Sports,BrandA,535.03,991,1.6,2024-03-13,412.75,22.9
221,Product_221,Health,BrandC,1871.92,453,1.2,2024-03-20,997.11,46.7
222,Product_222,Books,BrandA,918.55,686,1.1,2024-03-27,485.06,47.2
223,Product_223,Electronics,BrandD,259.54,623,2.9,2024-04-03,143.01,44.9
224,Product_224,Electronics,BrandB,868.25,611,1.3,2024-04-10,574.4,33.8
225,Product_225,Home,BrandB,258.47,519,3.0,2024-04-17,163.88,36.6
226,Product_226,Health,BrandC,1007.55,958,2.3,2024-04-24,414.52,58.9
227,Product_227,Clothing,BrandB,1124.74,984,2.3,2024-05-01,373.35,66.8
228,Product_228,Books,BrandB,678.82,646,3.5,2024-05-08,525.83,22.5
229,Product_229,Sports,BrandB,147.94,762,1.7,2024-05-15,63.69,56.9
230,Product_230,Clothing,BrandB,1887.29,336,4.1,2024-05-22,1168.8,38.1
231,Product_231,Health,BrandB,1547.84,239,3.3,2024-05-29,1105.5,28.6
232,Product_232,Sports,BrandD,1678.57,733,4.7,2024-06-05,755.59,55.0
233,Product_233,Home,BrandA,736.9,385,2.5,2024-06-12,455.2,38.2
234,Product_234,Home,BrandE,1522.86,144,4.9,2024-06-19,539.02,64.6
235,Product_235,Electronics,BrandB,973.32,376,3.3,2024-06-26,764.02,21.5
236,Product_236,Health,BrandE,406.16,3,4.9,2024-07-03,133.66,67.1
237,Product_237,Books,BrandE,253.22,793,1.1,2024-07-10,131.44,48.1
238,Product_238,Sports,BrandD,693.38,845,3.9,2024-07-17,394.12,43.2
239,Product_239,Clothing,BrandB,279.42,327,4.3,2024-07-24,194.26,30.5
240,Product_240,Health,BrandE,1996.55,196,1.2,2024-07-31,719.88,63.9
241,Product_241,Health,BrandB,103.13,388,3.3,2024-08-07,53.67,48.0
242,Product_242,Home,BrandC,885.08,639,4.2,2024-08-14,398.16,55.0
243,Product_243,Electronics,BrandC,906.93,260,3.2,2024-08-21,413.56,54.4
244,Product_244,Electronics,BrandC,604.76,602,1.3,2024-08-28,416.92,31.1
245,Product_245,Sports,BrandE,1144.85,836,3.8,2024-09-04,346.58,69.7
246,Product_246,Home,BrandC,304.2,770,1.2,2024-09-11,205.2,32.5
247,Product_247,Health,BrandD,1568.91,933,4.3,2024-09-18,1106.39,29.5
248,Product_248,Books,BrandD,668.23,93,1.2,2024-09-25,501.63,24.9
249,Product_249,Home,BrandE,1184.73,256,1.5,2024-10-02,726.76,38.7
250,Product_250,Sports,BrandB,1432.7,135,2.1,2024-10-09,668.68,53.3
251,Product_251,Sports,BrandA,1778.64,524,3.5,2024-10-16,913.54,48.6
252,Product_252,Home,BrandB,1672.4,979,4.9,2024-10-23,1312.61,21.5
253,Product_253,Sports,BrandB,1218.58,709,1.5,2024-10-30,902.47,25.9
254,Product_254,Home,BrandB,779.84,497,1.6,2024-11-06,414.69,46.8
255,Product_255,Clothing,BrandB,1008.89,177,2.5,2024-11-13,778.39,22.8
256,Product_256,Home,BrandA,1538.63,111,4.3,2024-11-20,1094.7,28.9
257,Product_257,Home,BrandC,1755.7,263,2.9,2024-11-27,1317.73,24.9
258,Product_258,Sports,BrandB,212.04,413,2.3,2024-12-04,136.02,35.9
259,Product_259,Sports,BrandD,772.79,368,3.2,2024-12-11,563.23,27.1
260,Product_260,Electronics,BrandE,1553.35,935,2.0,2024-12-18,1158.62,25.4
261,Product_261,Electronics,BrandE,866.15,590,2.6,2024-12-25,299.7,65.4
262,Product_262,Clothing,BrandD,667.79,377,2.3,2025-01-01,522.62,21.7
263,Product_263,Electronics,BrandB,825.59,767,4.2,2025-01-08,385.39,53.3
264,Product_264,Home,BrandA,1207.68,585,4.7,2025-01-15,627.93,48.0
265,Product_265,Sports,BrandC,1999.61,382,4.0,2025-01-22,1391.63,30.4
266,Product_266,Electronics,BrandE,988.52,672,2.8,2025-01-29,625.19,36.8
267,Product_267,Electronics,BrandC,420.95,510,3.0,2025-02-05,314.25,25.3
268,Product_268,Clothing,BrandA,329.88,712,1.5,2025-02-12,165.03,50.0
269,Product_269,Health,BrandE,89.49,880,4.0,2025-02-19,43.55,51.3
270,Product_270,Clothing,BrandC,1119.84,819,3.4,2025-02-26,353.7,68.4
271,Product_271,Home,BrandA,1091.42,376,4.6,2025-03-05,579.94,46.9
272,Product_272,Sports,BrandC,414.44,544,1.8,2025-03-12,274.37,33.8
273,Product_273,Clothing,BrandB,1392.18,72,4.0,2025-03-19,627.3,54.9
274,Product_274,Electronics,BrandA,1483.51,973,3.7,2025-03-26,788.28,46.9
275,Product_275,Sports,BrandC,521.9,503,2.1,2025-04-02,213.82,59.0
276,Product_276,Sports,BrandB,691.48,351,3.7,2025-04-09,474.63,31.4
277,Product_277,Electronics,BrandB,1980.99,804,4.7,2025-04-16,654.23,67.0
278,Product_278,Clothing,BrandA,751.66,709,4.7,2025-04-23,490.6,34.7
279,Product_279,Electronics,BrandD,1522.8,324,3.9,2025-04-30,745.36,51.1
280,Product_280,Health,BrandE,908.19,387,1.2,2025-05-07,291.35,67.9
281,Product_281,Sports,BrandA,1587.72,827,4.5,2025-05-14,1153.85,27.3
282,Product_282,Books,BrandB,1539.2,239,3.6,2025-05-21,837.11,45.6
283,Product_283,Books,BrandB,1337.17,975,2.2,2025-05-28,801.85,40.0
284,Product_284,Home,BrandA,1710.28,73,1.7,2025-06-04,1139.07,33.4
285,Product_285,Electronics,BrandD,1878.74,30,1.5,2025-06-11,1178.98,37.2
286,Product_286,Electronics,BrandE,1162.07,478,1.2,2025-06-18,773.27,33.5
287,Product_287,Home,BrandC,478.75,13,4.0,2025-06-25,326.1,31.9
288,Product_288,Home,BrandA,800.26,716,1.9,2025-07-02,475.82,40.5
289,Product_289,Home,BrandE,1517.82,315,1.1,2025-07-09,732.83,51.7
290,Product_290,Sports,BrandE,1303.51,67,2.6,2025-07-16,549.52,57.8
291,Product_291,Health,BrandB,359.71,639,2.9,2025-07-23,270.3,24.9
292,Product_292,Electronics,BrandC,107.22,537,1.7,2025-07-30,84.16,21.5
293,Product_293,Sports,BrandA,1367.51,919,1.2,2025-08-06,654.81,52.1
294,Product_294,Home,BrandB,505.9,695,1.8,2025-08-13,180.18,64.4
295,Product_295,Electronics,BrandB,1001.84,648,3.7,2025-08-20,412.03,58.9
296,Product_296,Sports,BrandD,1494.76,290,1.3,2025-08-27,949.67,36.5
297,Product_297,Health,BrandE,1127.52,617,3.2,2025-09-03,435.75,61.4
298,Product_298,Sports,BrandA,171.19,974,1.6,2025-09-10,118.13,31.0
299,Product_299,Health,BrandA,375.23,23,1.8,2025-09-17,285.74,23.8
300,Product_300,Home,BrandA,442.56,414,2.6,2025-09-24,346.0,21.8
301,Product_301,Health,BrandB,519.44,850,1.4,2025-10-01,158.25,69.5
302,Product_302,Electronics,BrandD,1132.98,961,1.7,2025-10-08,882.68,22.1
303,Product_303,Home,BrandC,1010.41,705,2.4,2025-10-15,677.07,33.0
304,Product_304,Electronics,BrandB,410.3,680,2.3,2025-10-22,140.33,65.8
305,Product_305,Books,BrandC,139.77,35,4.0,2025-10-29,70.95,49.2
306,Product_306,Clothing,BrandD,347.01,100,1.3,2025-11-05,225.56,35.0
307,Product_307,Health,BrandE,1968.84,545,4.4,2025-11-12,1532.43,22.2
308,Product_308,Clothing,BrandA,939.75,888,4.3,2025-11-19,359.05,61.8
309,Product_309,Clothing,BrandC,1735.35,38,4.1,2025-11-26,631.44,63.6
310,Product_310,Health,BrandB,1698.26,210,2.2,2025-12-03,910.56,46.4
311,Product_311,Home,BrandC,1025.48,741,4.3,2025-12-10,804.03,21.6
312,Product_312,Books,BrandE,1414.84,790,1.7,2025-12-17,1111.63,21.4
313,Product_313,Electronics,BrandA,389.54,591,1.5,2025-12-24,161.25,58.6
314,Product_314,Sports,BrandC,1378.35,749,1.2,2025-12-31,633.59,54.0
315,Product_315,Electronics,BrandE,548.41,171,4.8,2026-01-07,413.51,24.6
316,Product_316,Sports,BrandB,1664.96,837,2.2,2026-01-14,1111.23,33.3
317,Product_317,Electronics,BrandD,172.03,441,4.7,2026-01-21,135.24,21.4
318,Product_318,Health,BrandB,1547.41,58,2.1,2026-01-28,1155.26,25.3
319,Product_319,Books,BrandA,204.37,409,4.6,2026-02-04,83.29,59.2
320,Product_320,Sports,BrandB,1762.97,533,4.6,2026-02-11,1198.58,32.0
321,Product_321,Home,BrandB,611.89,364,4.7,2026-02-18,198.43,67.6
322,Product_322,Electronics,BrandB,1310.51,366,3.0,2026-02-25,929.04,29.1
323,Product_323,Electronics,BrandB,977.57,343,4.5,2026-03-04,587.3,39.9
324,Product_324,Sports,BrandA,735.77,749,4.8,2026-03-11,572.47,22.2
325,Product_325,Home,BrandE,1292.66,295,2.3,2026-03-18,1008.3,22.0
326,Product_326,Home,BrandC,1895.31,340,2.7,2026-03-25,616.75,67.5
327,Product_327,Health,BrandD,87.33,605,3.9,2026-04-01,33.21,62.0
328,Product_328,Health,BrandC,1838.11,755,2.2,2026-04-08,996.45,45.8
329,Product_329,Health,BrandC,1220.12,522,4.0,2026-04-15,902.58,26.0
330,Product_330,Health,BrandD,1615.59,628,1.3,2026-04-22,1142.58,29.3
331,Product_331,Health,BrandA,770.83,264,3.1,2026-04-29,602.93,21.8
332,Product_332,Health,BrandD,946.33,523,1.5,2026-05-06,576.35,39.1
333,Product_333,Books,BrandA,1738.36,665,2.2,2026-05-13,744.51,57.2
334,Product_334,Home,BrandC,832.62,37,2.0,2026-05-20,260.24,68.7
335,Product_335,Health,BrandA,1071.65,130,4.4,2026-05-27,440.94,58.9
